0.001	0.5
4.000000000000000000e+00 3.000000000000000000e+00 2.500000000000000000e-01
4.000000000000000000e+00 3.000000000000000000e+00 -1.250000000000000000e-01
4.000000000000000000e+00 3.000000000000000000e+00 -2.500000000000000000e-01
4.000000000000000000e+00 3.000000000000000000e+00 -3.750000000000000000e-01
4.000000000000000000e+00 3.000000000000000000e+00 -5.000000000000000000e-01
4.000000000000000000e+00 3.000000000000000000e+00 -7.500000000000000000e-01
4.000000000000000000e+00 3.000000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+00 3.000000000000000000e+00 -1.250000000000000000e+00
4.000000000000000000e+00 3.000000000000000000e+00 -1.500000000000000000e+00
4.000000000000000000e+00 3.000000000000000000e+00 -2.000000000000000000e+00
4.000000000000000000e+00 3.000000000000000000e+00 -2.500000000000000000e+00
4.000000000000000000e+00 3.500000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 3.500000000000000000e+00 1.250000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 2.500000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 -1.250000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 -2.500000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 -3.750000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 -5.000000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 -7.500000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+00 3.500000000000000000e+00 -1.250000000000000000e+00
4.000000000000000000e+00 3.500000000000000000e+00 -1.500000000000000000e+00
4.000000000000000000e+00 3.500000000000000000e+00 -2.000000000000000000e+00
4.250000000000000000e+00 3.500000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 3.500000000000000000e+00 -1.000000000000000000e+00
4.250000000000000000e+00 3.500000000000000000e+00 -1.250000000000000000e+00
4.250000000000000000e+00 3.500000000000000000e+00 -1.500000000000000000e+00
4.250000000000000000e+00 3.500000000000000000e+00 -2.000000000000000000e+00
4.250000000000000000e+00 3.500000000000000000e+00 -2.500000000000000000e+00
4.250000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 4.000000000000000000e+00 1.250000000000000000e-01
4.250000000000000000e+00 4.000000000000000000e+00 2.500000000000000000e-01
4.250000000000000000e+00 4.000000000000000000e+00 -1.250000000000000000e-01
4.250000000000000000e+00 4.000000000000000000e+00 -2.500000000000000000e-01
4.250000000000000000e+00 4.000000000000000000e+00 -3.750000000000000000e-01
4.250000000000000000e+00 4.000000000000000000e+00 -5.000000000000000000e-01
4.250000000000000000e+00 4.000000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 4.000000000000000000e+00 -1.000000000000000000e+00
4.250000000000000000e+00 4.000000000000000000e+00 -1.250000000000000000e+00
4.250000000000000000e+00 4.000000000000000000e+00 -1.500000000000000000e+00
4.250000000000000000e+00 4.000000000000000000e+00 -2.000000000000000000e+00
4.250000000000000000e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 4.500000000000000000e+00 1.250000000000000000e-01
4.250000000000000000e+00 4.500000000000000000e+00 2.500000000000000000e-01
4.250000000000000000e+00 4.500000000000000000e+00 -1.250000000000000000e-01
4.250000000000000000e+00 4.500000000000000000e+00 -2.500000000000000000e-01
4.250000000000000000e+00 4.500000000000000000e+00 -3.750000000000000000e-01
4.250000000000000000e+00 4.500000000000000000e+00 -5.000000000000000000e-01
4.250000000000000000e+00 4.500000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 4.500000000000000000e+00 -1.000000000000000000e+00
4.250000000000000000e+00 4.500000000000000000e+00 -1.250000000000000000e+00
4.250000000000000000e+00 4.500000000000000000e+00 -1.500000000000000000e+00
4.250000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 5.000000000000000000e+00 1.250000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e+00 -1.250000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e+00 -2.500000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e+00 -3.750000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e+00 -5.000000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e+00 -1.000000000000000000e+00
4.250000000000000000e+00 5.000000000000000000e+00 -1.250000000000000000e+00
4.250000000000000000e+00 5.000000000000000000e+00 -1.500000000000000000e+00
4.250000000000000000e+00 -5.000000000000000000e-01 0.000000000000000000e+00
4.250000000000000000e+00 -5.000000000000000000e-01 1.250000000000000000e-01
4.250000000000000000e+00 -5.000000000000000000e-01 2.500000000000000000e-01
5.000000000000000000e+00 2.500000000000000000e+00 -5.000000000000000000e-01
5.000000000000000000e+00 3.000000000000000000e+00 -5.000000000000000000e-01
5.000000000000000000e+00 3.000000000000000000e+00 -2.500000000000000000e+00
5.000000000000000000e+00 3.500000000000000000e+00 -2.500000000000000000e+00
5.250000000000000000e+00 3.500000000000000000e+00 -5.000000000000000000e-01
5.250000000000000000e+00 4.000000000000000000e+00 -2.500000000000000000e+00
5.250000000000000000e+00 4.500000000000000000e+00 -2.500000000000000000e+00
5.250000000000000000e+00 5.000000000000000000e+00 -2.500000000000000000e+00
6.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 2.000000000000000000e+00 1.250000000000000000e-01
6.000000000000000000e+00 2.000000000000000000e+00 2.500000000000000000e-01
6.000000000000000000e+00 2.000000000000000000e+00 -1.250000000000000000e-01
6.000000000000000000e+00 2.000000000000000000e+00 -2.500000000000000000e-01
6.000000000000000000e+00 2.000000000000000000e+00 -3.750000000000000000e-01
6.000000000000000000e+00 2.000000000000000000e+00 -5.000000000000000000e-01
6.000000000000000000e+00 2.000000000000000000e+00 -7.500000000000000000e-01
6.000000000000000000e+00 2.000000000000000000e+00 -1.000000000000000000e+00
6.000000000000000000e+00 2.000000000000000000e+00 -1.250000000000000000e+00
6.000000000000000000e+00 2.000000000000000000e+00 -1.500000000000000000e+00
6.000000000000000000e+00 2.000000000000000000e+00 -2.000000000000000000e+00
6.000000000000000000e+00 2.000000000000000000e+00 -2.500000000000000000e+00
6.000000000000000000e+00 2.500000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 2.500000000000000000e+00 1.250000000000000000e-01
6.000000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e-01
6.000000000000000000e+00 2.500000000000000000e+00 -1.250000000000000000e-01
6.000000000000000000e+00 2.500000000000000000e+00 -2.500000000000000000e-01
6.000000000000000000e+00 2.500000000000000000e+00 -3.750000000000000000e-01
6.000000000000000000e+00 2.500000000000000000e+00 -5.000000000000000000e-01
6.000000000000000000e+00 2.500000000000000000e+00 -7.500000000000000000e-01
6.000000000000000000e+00 2.500000000000000000e+00 -1.000000000000000000e+00
6.000000000000000000e+00 2.500000000000000000e+00 -1.250000000000000000e+00
6.000000000000000000e+00 2.500000000000000000e+00 -1.500000000000000000e+00
6.000000000000000000e+00 2.500000000000000000e+00 -2.000000000000000000e+00
6.000000000000000000e+00 3.500000000000000000e+00 -2.500000000000000000e+00
6.250000000000000000e+00 2.500000000000000000e+00 -7.500000000000000000e-01
6.250000000000000000e+00 2.500000000000000000e+00 -1.000000000000000000e+00
6.250000000000000000e+00 2.500000000000000000e+00 -1.250000000000000000e+00
6.250000000000000000e+00 2.500000000000000000e+00 -1.500000000000000000e+00
6.250000000000000000e+00 2.500000000000000000e+00 -2.000000000000000000e+00
6.250000000000000000e+00 2.500000000000000000e+00 -2.500000000000000000e+00
6.250000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e+00 4.000000000000000000e+00 1.250000000000000000e-01
6.250000000000000000e+00 4.000000000000000000e+00 2.500000000000000000e-01
6.250000000000000000e+00 4.000000000000000000e+00 -1.250000000000000000e-01
6.250000000000000000e+00 4.000000000000000000e+00 -2.500000000000000000e-01
6.250000000000000000e+00 4.000000000000000000e+00 -3.750000000000000000e-01
6.250000000000000000e+00 4.000000000000000000e+00 -5.000000000000000000e-01
6.250000000000000000e+00 4.000000000000000000e+00 -7.500000000000000000e-01
6.250000000000000000e+00 4.000000000000000000e+00 -1.000000000000000000e+00
6.250000000000000000e+00 4.000000000000000000e+00 -1.250000000000000000e+00
6.250000000000000000e+00 4.000000000000000000e+00 -1.500000000000000000e+00
6.250000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e+00 5.000000000000000000e+00 1.250000000000000000e-01
6.250000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e-01
6.250000000000000000e+00 5.000000000000000000e+00 -1.250000000000000000e-01
6.250000000000000000e+00 5.000000000000000000e+00 -2.500000000000000000e-01
6.250000000000000000e+00 5.000000000000000000e+00 -3.750000000000000000e-01
4.000000000000000000e+00 3.500000000000000000e+00 -2.500000000000000000e+00
4.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 4.000000000000000000e+00 1.250000000000000000e-01
4.000000000000000000e+00 4.000000000000000000e+00 2.500000000000000000e-01
4.000000000000000000e+00 4.000000000000000000e+00 -1.250000000000000000e-01
4.000000000000000000e+00 4.000000000000000000e+00 -2.500000000000000000e-01
4.000000000000000000e+00 4.000000000000000000e+00 -3.750000000000000000e-01
4.000000000000000000e+00 4.000000000000000000e+00 -5.000000000000000000e-01
4.000000000000000000e+00 4.000000000000000000e+00 -7.500000000000000000e-01
4.000000000000000000e+00 4.000000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+00 4.000000000000000000e+00 -1.250000000000000000e+00
4.000000000000000000e+00 4.000000000000000000e+00 -1.500000000000000000e+00
4.000000000000000000e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 4.500000000000000000e+00 1.250000000000000000e-01
4.000000000000000000e+00 4.500000000000000000e+00 2.500000000000000000e-01
4.000000000000000000e+00 4.500000000000000000e+00 -1.250000000000000000e-01
4.000000000000000000e+00 4.500000000000000000e+00 -2.500000000000000000e-01
4.000000000000000000e+00 4.500000000000000000e+00 -3.750000000000000000e-01
4.000000000000000000e+00 4.500000000000000000e+00 -5.000000000000000000e-01
4.000000000000000000e+00 4.500000000000000000e+00 -7.500000000000000000e-01
4.000000000000000000e+00 4.500000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+00 4.500000000000000000e+00 -1.250000000000000000e+00
4.000000000000000000e+00 4.500000000000000000e+00 -1.500000000000000000e+00
4.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 5.000000000000000000e+00 1.250000000000000000e-01
4.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e-01
4.000000000000000000e+00 5.000000000000000000e+00 -1.250000000000000000e-01
4.000000000000000000e+00 5.000000000000000000e+00 -2.500000000000000000e-01
4.000000000000000000e+00 5.000000000000000000e+00 -3.750000000000000000e-01
4.000000000000000000e+00 5.000000000000000000e+00 -5.000000000000000000e-01
4.000000000000000000e+00 5.000000000000000000e+00 -7.500000000000000000e-01
4.000000000000000000e+00 5.000000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+00 5.000000000000000000e+00 -1.250000000000000000e+00
4.000000000000000000e+00 5.000000000000000000e+00 -1.500000000000000000e+00
4.000000000000000000e+00 -5.000000000000000000e-01 0.000000000000000000e+00
4.000000000000000000e+00 -5.000000000000000000e-01 1.250000000000000000e-01
4.000000000000000000e+00 -5.000000000000000000e-01 2.500000000000000000e-01
4.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 0.000000000000000000e+00 1.250000000000000000e-01
4.250000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01
4.250000000000000000e+00 0.000000000000000000e+00 -1.250000000000000000e-01
4.250000000000000000e+00 0.000000000000000000e+00 -2.500000000000000000e-01
4.250000000000000000e+00 0.000000000000000000e+00 -3.750000000000000000e-01
4.250000000000000000e+00 0.000000000000000000e+00 -5.000000000000000000e-01
4.250000000000000000e+00 0.000000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00
4.250000000000000000e+00 5.000000000000000000e-01 1.250000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 2.500000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 -1.250000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 -2.500000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 -3.750000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 -5.000000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 -7.500000000000000000e-01
4.250000000000000000e+00 5.000000000000000000e-01 -1.000000000000000000e+00
4.250000000000000000e+00 5.000000000000000000e-01 -1.250000000000000000e+00
4.250000000000000000e+00 5.000000000000000000e-01 -1.500000000000000000e+00
4.250000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01
4.250000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e-01
4.250000000000000000e+00 1.000000000000000000e+00 -1.250000000000000000e-01
4.250000000000000000e+00 1.000000000000000000e+00 -2.500000000000000000e-01
4.250000000000000000e+00 1.000000000000000000e+00 -3.750000000000000000e-01
4.250000000000000000e+00 1.000000000000000000e+00 -5.000000000000000000e-01
4.250000000000000000e+00 1.000000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00
4.250000000000000000e+00 1.000000000000000000e+00 -1.250000000000000000e+00
4.250000000000000000e+00 1.000000000000000000e+00 -1.500000000000000000e+00
4.250000000000000000e+00 1.000000000000000000e+00 -2.000000000000000000e+00
4.250000000000000000e+00 1.500000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 1.500000000000000000e+00 1.250000000000000000e-01
4.250000000000000000e+00 1.500000000000000000e+00 2.500000000000000000e-01
4.250000000000000000e+00 1.500000000000000000e+00 -1.250000000000000000e-01
4.250000000000000000e+00 1.500000000000000000e+00 -2.500000000000000000e-01
4.250000000000000000e+00 1.500000000000000000e+00 -3.750000000000000000e-01
4.250000000000000000e+00 1.500000000000000000e+00 -5.000000000000000000e-01
4.250000000000000000e+00 1.500000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 1.500000000000000000e+00 -1.000000000000000000e+00
4.250000000000000000e+00 1.500000000000000000e+00 -1.250000000000000000e+00
4.250000000000000000e+00 1.500000000000000000e+00 -1.500000000000000000e+00
4.250000000000000000e+00 1.500000000000000000e+00 -2.000000000000000000e+00
4.250000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 2.000000000000000000e+00 1.250000000000000000e-01
4.250000000000000000e+00 2.000000000000000000e+00 2.500000000000000000e-01
4.250000000000000000e+00 2.000000000000000000e+00 -1.250000000000000000e-01
4.250000000000000000e+00 2.000000000000000000e+00 -2.500000000000000000e-01
4.250000000000000000e+00 2.000000000000000000e+00 -3.750000000000000000e-01
4.250000000000000000e+00 2.000000000000000000e+00 -5.000000000000000000e-01
4.250000000000000000e+00 2.000000000000000000e+00 -7.500000000000000000e-01
4.250000000000000000e+00 2.000000000000000000e+00 -1.000000000000000000e+00
4.250000000000000000e+00 2.000000000000000000e+00 -1.250000000000000000e+00
4.250000000000000000e+00 2.000000000000000000e+00 -1.500000000000000000e+00
